protocol,key_length,distance_to_alice,percentage,mean_qber,mean_qber_after_correction,mean_simulated_time,mean_repetitions
BB84,256,5,0,0.0,,1507678530.0,1.47
BB84,256,5,50,0.24453125,,1508510530.0,1.47
BB84,256,5,70,0.34703125,,1580691500.0,1.54
BB84,256,5,99,0.4958984375,,1540126260.0,1.5
BB84,256,20,0,0.0,,1538447380.0,1.5
BB84,256,20,50,0.2498046875,,1539296210.0,1.5
BB84,256,20,70,0.34953125,,1529369840.0,1.49
BB84,256,20,99,0.4964453125,,1570928920.0,1.53
BB84,256,50,0,0.0,,1569215900.0,1.53
BB84,256,50,50,0.250546875,,1457200620.0,1.42
BB84,256,50,70,0.34921875,,1560162040.0,1.52
BB84,256,50,99,0.494921875,,1550394060.0,1.51
BB84,256,70,0,0.0,,1548703490.0,1.51
BB84,256,70,50,0.250859375,,1621391550.0,1.58
BB84,256,70,70,0.346015625,,1447256580.0,1.41
BB84,256,70,99,0.4970703125,,1540126240.0,1.5
BB84,256,95,0,0.0,,1599985320.0,1.56
BB84,256,95,50,0.2483203125,,1487986590.0,1.45
BB84,256,95,70,0.3525,,1457520310.0,1.42
BB84,256,95,99,0.4894921875,,1683871530.0,1.64
